interface	model	test	replicate	value	time
GUROBI	iAF1260	LP	0	3.6101431416268026	0.04713606834411621
GUROBI	iAF1260	MILP	0	13.0	0.5221691131591797
SCIP_CMD	iAF1260	LP	0	3.6101431416268	0.19613909721374512
SCIP_CMD	iAF1260	MILP	0	13.0	3.9522221088409424
HiGHS_CMD	iAF1260	LP	0	3.6101431416268	0.09180903434753418
HiGHS_CMD	iAF1260	MILP	0	13.0	2.731674909591675
GLPK_CMD	iAF1260	LP	0	3.61014	0.09363913536071777
GLPK_CMD	iAF1260	MILP	0	13.0	10.685230016708374
COIN_CMD	iAF1260	LP	0	3.6101431	0.10044717788696289
COIN_CMD	iAF1260	MILP	0	13.0	6066.235890865326
CPLEX_PY	iAF1260	LP	1	3.6101431416268066	0.06757187843322754
CPLEX_PY	iAF1260	MILP	1	12.999999998	0.3934969902038574
GUROBI	iAF1260	LP	1	3.6101431416268026	0.045655012130737305
GUROBI	iAF1260	MILP	1	13.0	0.5267848968505859
SCIP_CMD	iAF1260	LP	1	3.6101431416268	0.19657230377197266
SCIP_CMD	iAF1260	MILP	1	13.0	3.9199039936065674
HiGHS_CMD	iAF1260	LP	1	3.6101431416268	0.09019994735717773
HiGHS_CMD	iAF1260	MILP	1	13.0	2.731984853744507
GLPK_CMD	iAF1260	LP	1	3.61014	0.09282493591308594
GLPK_CMD	iAF1260	MILP	1	13.0	10.43703293800354
COIN_CMD	iAF1260	LP	1	3.6101431	0.10202908515930176
COIN_CMD	iAF1260	MILP	1	13.0	6051.950390815735
CPLEX_PY	iAF1260	LP	2	3.6101431416268066	0.0674440860748291
CPLEX_PY	iAF1260	MILP	2	12.999999998	0.39884495735168457
GUROBI	iAF1260	LP	2	3.6101431416268026	0.0460972785949707
GUROBI	iAF1260	MILP	2	13.0	0.519542932510376
SCIP_CMD	iAF1260	LP	2	3.6101431416268	0.19157195091247559
SCIP_CMD	iAF1260	MILP	2	13.0	3.954076051712036
HiGHS_CMD	iAF1260	LP	2	3.6101431416268	0.08928298950195312
HiGHS_CMD	iAF1260	MILP	2	13.0	2.7261459827423096
GLPK_CMD	iAF1260	LP	2	3.61014	0.09274482727050781
GLPK_CMD	iAF1260	MILP	2	13.0	10.505516767501831
COIN_CMD	iAF1260	LP	2	3.6101431	0.10179567337036133
COIN_CMD	iAF1260	MILP	2	13.0	6059.864685058594
CPLEX_PY	iAF1260	LP	3	3.6101431416268066	0.06732296943664551
CPLEX_PY	iAF1260	MILP	3	12.999999998	0.42464590072631836
GUROBI	iAF1260	LP	3	3.6101431416268026	0.08127403259277344
GUROBI	iAF1260	MILP	3	13.0	0.5268726348876953
SCIP_CMD	iAF1260	LP	3	3.6101431416268	0.190507173538208
SCIP_CMD	iAF1260	MILP	3	13.0	3.9497249126434326
HiGHS_CMD	iAF1260	LP	3	3.6101431416268	0.09047389030456543
HiGHS_CMD	iAF1260	MILP	3	13.0	2.724480152130127
GLPK_CMD	iAF1260	LP	3	3.61014	0.0933833122253418
GLPK_CMD	iAF1260	MILP	3	13.0	10.467861890792847
COIN_CMD	iAF1260	LP	3	3.6101431	0.09969687461853027
COIN_CMD	iAF1260	MILP	3	13.0	6055.3587901592255
