interface	replicate	value	time
CPLEX_PY	109	6.999999999999999	0.7321369647979736
GUROBI	109	7.0	0.719149112701416
SCIP_CMD	109	7.0	4.672106981277466
HiGHS_CMD	109	7.0	3.6821670532226562
CPLEX_PY	110	6.999999999999961	0.7167680263519287
GUROBI	110	7.0	0.7699120044708252
SCIP_CMD	110	7.0	3.239382028579712
HiGHS_CMD	110	7.0	7.444608926773071
CPLEX_PY	111	6.0	0.7296700477600098
GUROBI	111	6.0	1.1677069664001465
SCIP_CMD	111	6.0	1.9981880187988281
HiGHS_CMD	111	6.0	7.63825798034668
CPLEX_PY	112	6.0	0.8092188835144043
GUROBI	112	6.0	0.5640268325805664
SCIP_CMD	112	6.0	4.362931966781616
HiGHS_CMD	112	6.0	3.935131788253784
CPLEX_PY	113	7.0	0.7206709384918213
GUROBI	113	7.0	0.6318409442901611
SCIP_CMD	113	7.0	1.700688123703003
HiGHS_CMD	113	7.0	6.446171760559082
CPLEX_PY	114	5.999999999	0.7396719455718994
GUROBI	114	6.0	0.5492069721221924
SCIP_CMD	114	6.0	4.154977798461914
HiGHS_CMD	114	6.0	7.0789618492126465
CPLEX_PY	115	7.0	0.5739660263061523
GUROBI	115	7.0	0.6896719932556152
SCIP_CMD	115	7.0	3.711768865585327
HiGHS_CMD	115	7.0	4.983901262283325
CPLEX_PY	116	7.0	0.6326251029968262
GUROBI	116	7.0	0.8339519500732422
SCIP_CMD	116	7.0	2.846151113510132
HiGHS_CMD	116	7.0	6.29336404800415
CPLEX_PY	117	6.0	0.8266088962554932
GUROBI	117	6.0	1.023730993270874
SCIP_CMD	117	6.0	2.4139151573181152
HiGHS_CMD	117	6.0	4.94870400428772
CPLEX_PY	118	6.0	0.8337090015411377
GUROBI	118	6.0	0.747514009475708
SCIP_CMD	118	6.0	5.923321962356567
HiGHS_CMD	118	6.0	5.2611167430877686
CPLEX_PY	119	7.0	0.7234580516815186
GUROBI	119	7.0	0.6278631687164307
SCIP_CMD	119	7.0	2.060753107070923
HiGHS_CMD	119	7.0	6.455888032913208
CPLEX_PY	120	7.0	0.67877197265625
GUROBI	120	7.0	0.6647768020629883
SCIP_CMD	120	7.0	11.272598028182983
HiGHS_CMD	120	7.0	5.372912883758545
CPLEX_PY	121	7.0	0.5383660793304443
GUROBI	121	7.0	0.4110901355743408
SCIP_CMD	121	7.0	1.126579999923706
HiGHS_CMD	121	7.0	4.382259845733643
CPLEX_PY	122	7.0	0.5731589794158936
GUROBI	122	7.0	0.5298800468444824
SCIP_CMD	122	7.0	2.4138731956481934
HiGHS_CMD	122	7.0	9.396396160125732
CPLEX_PY	123	6.0	0.7430272102355957
GUROBI	123	6.0	0.580291748046875
SCIP_CMD	123	6.0	1.7102079391479492
HiGHS_CMD	123	6.0	4.945225954055786
CPLEX_PY	124	6.0	0.8601522445678711
GUROBI	124	6.0	0.6771607398986816
SCIP_CMD	124	6.0	4.516180992126465
HiGHS_CMD	124	6.0	9.236220836639404
CPLEX_PY	125	5.999999998	0.7922718524932861
GUROBI	125	6.0	0.7924909591674805
SCIP_CMD	125	6.0	2.7104389667510986
HiGHS_CMD	125	6.0	6.5918872356414795
CPLEX_PY	126	7.0	0.7545149326324463
GUROBI	126	7.0	0.8870530128479004
SCIP_CMD	126	7.0	5.469486713409424
HiGHS_CMD	126	7.0	5.397235155105591
CPLEX_PY	127	7.0	0.8257501125335693
GUROBI	127	7.0	0.47875308990478516
SCIP_CMD	127	7.0	3.4260478019714355
HiGHS_CMD	127	7.0	7.198068380355835
CPLEX_PY	128	8.0	0.5179488658905029
GUROBI	128	8.0	0.6881930828094482
SCIP_CMD	128	8.0	2.5328593254089355
HiGHS_CMD	128	8.0	6.1806557178497314
CPLEX_PY	129	7.0	0.497636079788208
GUROBI	129	7.0	0.6686432361602783
