interface,size,rep,time,value,rel
GLPK_CMD,3,5,0.22312188148498535,52.902,0.07437396049499512
COIN_CMD,3,5,0.3017549514770508,52.902045,0.1005849838256836
CPLEX_PY,3,6,0.1356499195098877,52.902044959440396,0.045216639836629234
GUROBI,3,6,0.09238624572753906,52.90204495944039,0.03079541524251302
SCIP_CMD,3,6,0.33222389221191406,52.9020449595644,0.11074129740397136
HiGHS_CMD,3,6,0.21868395805358887,52.9020449594524,0.07289465268452962
GLPK_CMD,3,6,0.21477293968200684,52.902,0.07159097989400227
COIN_CMD,3,6,0.22369599342346191,52.902045,0.07456533114115398
CPLEX_PY,3,7,0.1625809669494629,18.372662135038897,0.05419365564982096
GUROBI,3,7,0.09933185577392578,18.372662135038993,0.033110618591308594
SCIP_CMD,3,7,0.41533803939819336,18.3726621350204,0.1384460131327311
HiGHS_CMD,3,7,0.23634576797485352,18.372662135036,0.0787819226582845
GLPK_CMD,3,7,0.22522902488708496,18.3727,0.07507634162902832
COIN_CMD,3,7,0.37975382804870605,18.372662,0.1265846093495687
CPLEX_PY,3,8,0.14383387565612793,52.902044959440396,0.04794462521870931
GUROBI,3,8,0.0931708812713623,52.9020449594404,0.031056960423787434
SCIP_CMD,3,8,0.37932491302490234,52.9020449595644,0.12644163767496744
HiGHS_CMD,3,8,0.23867106437683105,52.9020449594524,0.07955702145894368
GLPK_CMD,3,8,0.2128279209136963,52.902,0.07094264030456543
COIN_CMD,3,8,0.22574901580810547,52.902045,0.07524967193603516
CPLEX_PY,3,9,0.17955303192138672,52.902044959440396,0.05985101064046224
GUROBI,3,9,0.10782790184020996,52.9020449594404,0.035942633946736656
SCIP_CMD,3,9,0.47722768783569336,52.9020449595644,0.1590758959452311
HiGHS_CMD,3,9,0.29897284507751465,52.9020449594524,0.09965761502583821
GLPK_CMD,3,9,0.24850201606750488,52.902,0.08283400535583496
COIN_CMD,3,9,0.339526891708374,52.902045,0.11317563056945801
CPLEX_PY,4,0,1.0502641201019287,52.902044959440396,0.2625660300254822
GUROBI,4,0,0.11468315124511719,52.9020449594404,0.028670787811279297
SCIP_CMD,4,0,0.41727781295776367,52.9020449595644,0.10431945323944092
HiGHS_CMD,4,0,0.3015148639678955,52.9020449594525,0.07537871599197388
GLPK_CMD,4,0,0.2703409194946289,52.902,0.06758522987365723
COIN_CMD,4,0,0.361875057220459,52.902045,0.09046876430511475
CPLEX_PY,4,1,0.22288894653320312,52.902044959440396,0.05572223663330078
GUROBI,4,1,0.12766599655151367,52.902044959440396,0.03191649913787842
SCIP_CMD,4,1,0.5324671268463135,52.9020449595644,0.13311678171157837
HiGHS_CMD,4,1,0.3423280715942383,52.9020449594524,0.08558201789855957
GLPK_CMD,4,1,0.29487013816833496,52.902,0.07371753454208374
COIN_CMD,4,1,0.35732102394104004,52.902045,0.08933025598526001
CPLEX_PY,4,2,0.20404601097106934,52.902044959440396,0.051011502742767334
GUROBI,4,2,0.1346120834350586,52.9020449594404,0.03365302085876465
SCIP_CMD,4,2,0.4501931667327881,52.9020449595645,0.11254829168319702
HiGHS_CMD,4,2,0.3166470527648926,52.9020449594525,0.07916176319122314
GLPK_CMD,4,2,0.25873804092407227,52.902,0.06468451023101807
COIN_CMD,4,2,0.9894118309020996,52.902045,0.2473529577255249
CPLEX_PY,4,3,0.19562888145446777,52.902044959440396,0.04890722036361694
GUROBI,4,3,0.1185598373413086,52.9020449594404,0.02963995933532715
SCIP_CMD,4,3,0.463245153427124,52.9020449595644,0.115811288356781
HiGHS_CMD,4,3,0.3124539852142334,52.9020449594524,0.07811349630355835
GLPK_CMD,4,3,0.30783581733703613,52.902,0.07695895433425903
COIN_CMD,4,3,0.372844934463501,52.902045,0.09321123361587524
CPLEX_PY,4,4,0.1890089511871338,52.90204495944039,0.04725223779678345
GUROBI,4,4,0.12186217308044434,52.9020449594404,0.030465543270111084
SCIP_CMD,4,4,0.4516770839691162,52.9020449595644,0.11291927099227905
HiGHS_CMD,4,4,0.27927494049072266,52.9020449594524,0.06981873512268066
GLPK_CMD,4,4,0.2613959312438965,52.902,0.06534898281097412
COIN_CMD,4,4,0.32140493392944336,52.902045,0.08035123348236084
CPLEX_PY,4,5,0.19016218185424805,30.267433623108058,0.04754054546356201
GUROBI,4,5,0.12176108360290527,30.267433623108115,0.03044027090072632
SCIP_CMD,4,5,0.44973182678222656,30.2674336230877,0.11243295669555664
HiGHS_CMD,4,5,0.2965519428253174,30.2674336231016,0.07413798570632935
GLPK_CMD,4,5,0.3243269920349121,30.2674,0.08108174800872803
CPLEX_PY,4,6,0.21251416206359863,52.36959733189451,0.05312854051589966
GUROBI,4,6,0.13242197036743164,52.36959733189449,0.03310549259185791
SCIP_CMD,4,6,0.5006208419799805,52.3695973318337,0.12515521049499512
HiGHS_CMD,4,6,0.2957911491394043,52.3695973318821,0.07394778728485107
GLPK_CMD,4,6,0.29708099365234375,52.3696,0.07427024841308594
COIN_CMD,4,6,0.37900781631469727,52.369562,0.09475195407867432
CPLEX_PY,4,7,0.14191102981567383,52.902044959440396,0.03547775745391846
GUROBI,4,7,0.09544014930725098,52.9020449594404,0.023860037326812744
SCIP_CMD,4,7,0.364987850189209,52.9020449595644,0.09124696254730225
HiGHS_CMD,4,7,0.25412487983703613,52.9020449594525,0.06353121995925903
GLPK_CMD,4,7,0.21076488494873047,52.902,0.05269122123718262
COIN_CMD,4,7,0.27278614044189453,52.902045,0.06819653511047363
CPLEX_PY,4,8,0.20191121101379395,52.9020449594404,0.050477802753448486
GUROBI,4,8,0.12373185157775879,52.9020449594404,0.030932962894439697
SCIP_CMD,4,8,0.5052957534790039,52.9020449595644,0.12632393836975098
HiGHS_CMD,4,8,0.29435205459594727,52.9020449594524,0.07358801364898682
GLPK_CMD,4,8,0.28025293350219727,52.902,0.07006323337554932
COIN_CMD,4,8,0.27939414978027344,52.902045,0.06984853744506836
CPLEX_PY,4,9,0.18332219123840332,24.818296613925565,0.04583054780960083
GUROBI,4,9,0.11753606796264648,24.818296613925593,0.02938401699066162
SCIP_CMD,4,9,0.4266660213470459,24.8182966138832,0.10666650533676147
HiGHS_CMD,4,9,0.28156018257141113,24.8182966139178,0.07039004564285278
GLPK_CMD,4,9,0.27065014839172363,24.8183,0.06766253709793091
COIN_CMD,4,9,0.3119359016418457,24.818311,0.07798397541046143
CPLEX_PY,5,0,0.21802020072937012,52.90204495944039,0.043604040145874025
GUROBI,5,0,0.12750577926635742,52.9020449594404,0.025501155853271486
SCIP_CMD,5,0,0.575314998626709,52.9020449595644,0.1150629997253418
HiGHS_CMD,5,0,0.3137218952178955,52.9020449594524,0.0627443790435791
GLPK_CMD,5,0,0.3289930820465088,52.902,0.06579861640930176
COIN_CMD,5,0,0.48325395584106445,52.902045,0.09665079116821289
CPLEX_PY,5,1,0.310654878616333,52.902044959440396,0.062130975723266604
GUROBI,5,1,0.13950681686401367,52.9020449594404,0.027901363372802735
