interface	size	test	rep	time	value
COIN_CMD	3	LP	1	0.27172207832336426	29.946661
CPLEX_PY	3	LP2	1	0.49501991271972656	40517.67966827497
GUROBI	3	LP2	1	0.3942699432373047	40517.6796682711
SCIP_CMD	3	LP2	1	1.2417781352996826	40517.67966520086
HiGHS_CMD	3	LP2	1	0.718250036239624	40517.67966618948
GLPK_CMD	3	LP2	1	1.3729960918426514	
COIN_CMD	3	LP2	1	2.6875979900360107	40513.89910033125
CPLEX_PY	3	LP	2	0.13425207138061523	52.90204495944041
GUROBI	3	LP	2	0.09767293930053711	52.902044959440396
SCIP_CMD	3	LP	2	0.48467016220092773	52.9020449595644
HiGHS_CMD	3	LP	2	0.26091909408569336	52.9020449594524
GLPK_CMD	3	LP	2	0.21487212181091309	52.902
COIN_CMD	3	LP	2	0.35875892639160156	52.902045
CPLEX_PY	3	LP2	2	40.223565101623535	44727.3875382345
GUROBI	3	LP2	2	0.42413806915283203	44727.38753823449
SCIP_CMD	3	LP2	2	1.5243141651153564	44727.3875384359
HiGHS_CMD	3	LP2	2	0.8225357532501221	44727.38753825169
GLPK_CMD	3	LP2	2	2.355053186416626	44727.33684719977
COIN_CMD	3	LP2	2	1.00834321975708	44727.387836644615
CPLEX_PY	3	LP	3	0.12705373764038086	52.902044959440396
GUROBI	3	LP	3	0.09434294700622559	52.9020449594404
SCIP_CMD	3	LP	3	0.38069701194763184	52.9020449595644
HiGHS_CMD	3	LP	3	0.4118690490722656	52.9020449594524
GLPK_CMD	3	LP	3	0.21035289764404297	52.902
COIN_CMD	3	LP	3	0.24802803993225098	52.902045
CPLEX_PY	3	LP2	3	27.714356899261475	46454.838904860066
GUROBI	3	LP2	3	0.38042521476745605	46454.83890486003
SCIP_CMD	3	LP2	3	1.2277939319610596	46454.83890506598
HiGHS_CMD	3	LP2	3	0.7357749938964844	46454.8389048798
GLPK_CMD	3	LP2	3	1.7600250244140625	46454.785781199935
COIN_CMD	3	LP2	3	1.2155580520629883	46454.83906729894
CPLEX_PY	3	LP	4	0.09235095977783203	52.9020449594404
GUROBI	3	LP	4	0.06807494163513184	52.902044959440396
SCIP_CMD	3	LP	4	0.2853219509124756	52.9020449595644
HiGHS_CMD	3	LP	4	0.1620180606842041	52.9020449594524
GLPK_CMD	3	LP	4	0.14641189575195312	52.902
COIN_CMD	3	LP	4	0.16572880744934082	
CPLEX_PY	3	LP2	4	0.33992600440979004	58840.72570094091
GUROBI	3	LP2	4	0.25519680976867676	58840.7257009405
SCIP_CMD	3	LP2	4	0.8002088069915771	58840.72570127492
HiGHS_CMD	3	LP2	4	0.49271392822265625	58840.72570098502
GLPK_CMD	3	LP2	4	0.8480188846588135	58840.64192254509
COIN_CMD	3	LP2	4	0.16562795639038086	
CPLEX_PY	3	LP	5	0.10366225242614746	34.07713156581492
GUROBI	3	LP	5	0.07753610610961914	34.07713156581497
SCIP_CMD	3	LP	5	0.3074519634246826	34.077131565817
HiGHS_CMD	3	LP	5	0.17157196998596191	34.0771315658042
GLPK_CMD	3	LP	5	0.17079591751098633	34.0771
COIN_CMD	3	LP	5	0.23812198638916016	
CPLEX_PY	3	LP2	5	0.39345788955688477	94331.71207370168
GUROBI	3	LP2	5	0.5118269920349121	94331.71207369496
SCIP_CMD	3	LP2	5	0.8725790977478027	94331.71206934129
HiGHS_CMD	3	LP2	5	0.5426759719848633	94331.71207264223
GLPK_CMD	3	LP2	5	1.027604103088379	94323.56346750192
